"","score_page","review_page"
"1","7","조 마치... 동생 베스를 그리워하며 다시 글을 적는 영화."
"2","9","원작은 못봐서 모르지만 재밌습니다!추천!"
"3","8","재밌더라구요 추천해요"
"4","10","진심으로 마음이 따뜻해지는 소녀들의 이야기라고 생각합니다. 정말로 봐야하는 영화입니다!!"
"5","6","과거와 현재를 오락가락 정신없네요 1994년작품보다 못하네요"
"6","7","여성감독다운 섬세함은 94년 만들었던 영화만큼 좋았는데. 로리역의 어색한 연기와 원작에 더 충실한 전작에 비해 감동의 깊이는 좀 떨어진다.그럼에도 따뜻한 영상미와 그레타 거윅과 시얼샤 로넌의 빛나는 조화는 기대를 저버리지 않는다."
"7","3","연출이.. 원작 못따라가네.."
"8","0",""
"9","8","따스하고 재밌었어요"
"10","9","Big Women"
"11","6","전작의 위노나 라이더나 크리스찬 베일의 깊은 연기를 못 따라 가네요.특히 티모시.. 연기."
"12","7","..."
"13","2","인물들의 과거와 현재모습이 동일할거면 편집을 똑바로하던가 적어도 막내는 소녀에서 여인이 되어야지.이것때문에 의상에만 정성들인 영화로 전락해버림"
"14","10","가장개인적인 것이 가장 창의 적이다!!!*^^*따듯한영화"
"15","2",""
"16","10",""
"17","9",""
"18","3","과거와 현재를 왔다갔다하니 너무 산만. 엠마왓슨은 메그 역에 안어울리고 로리도 너무 앳된배우 여서 조랑도 뭔가 안어울림. 뱌우들을 보나 자연스러운 흐름전개를 보나 95년작이 더 나았음."
"19","10","이런 영화 많이 만들어주세요"
"20","7","조 하고  에이미 둘이  주인공인듯.  뛰어다니는  캐릭터 명랑한 말괄량이 조, 화려한 외모의 에이미가  주인공 인듯.  로리는  외모도 빈약하고  존재감이  약함.  로리가 더  잘생겼으면  하는 개인적인  바램."
"21","6",""
"22","9",""
"23","5","현대적 의미와 맞닿아 있다는 것에 의의"
"24","10","꿀잼"
"25","10","원작을 읽고싶게 만드는 드문 헐리우드 명작!"
"26","9","흠잡을 데가 없는 좋은 영화."
"27","5","49년 95년 20년  배우와 작중 캐릭터 ,원작을 최대한 살릴 영화는 20년뒤에 한번 더 제작할려나?"
"28","8","이 영화보고 배우 얼평하는 사람들 넘 웃기네"
"29","9","재미있게 집중해서 봤음"
"30","8","플롯이란 무기를 지닌 영화의 강점"
"31","10","인물의 서사가 살아있는 최고의 작품"
